Hour,Price_DAM,Q_DAM,Qbuy_DAM,Qsell_DAM,Price_IDC,Qbuy_IDC,Qsell_IDC,Consumption,Production,Coal,OilGas,Hydro,Nuclear,Wind,SolarPV,Biomass,Sold
1,538,1817,1317,1817,466.62,75.4,82.6,5511.666667,5834.5,912.5,1166.666667,2438.166667,682,590.1666667,-2,47.5,-323
2,503,1760,1312,1760,450.44,81.6,71.5,5286.833333,5374.666667,919,1159.666667,2108.166667,679.6666667,464.8333333,-2,43.5,-87.83333333
3,480,1716,1316,1716,434.86,59.3,65.6,5207.5,5208.833333,909.5,1158,2199.166667,681.3333333,220.6666667,-2,42.83333333,-1.5
4,484,1644,1357,1644,421.03,78,21.6,5085,5160.666667,903.6666667,1134.333333,2090.166667,680.3333333,309.8333333,-2,43.66666667,-75.33333333
5,486,1563,1410,1563,416.7,74.4,4.6,5123.333333,5092.5,908.6666667,1134.666667,1887,681.1666667,439.3333333,-2,44,30.83333333
6,536,1691,1691,1520,491.85,121.2,10.5,5155,5085.333333,862.6666667,1119.833333,1629,685.3333333,744.6666667,-1.333333333,45.5,69.66666667
7,696,2073,2073,1761,621.64,30.4,18,5479.5,5051.333333,706.8333333,1114.166667,1574.666667,685.5,884.3333333,34.33333333,48.66666667,428.3333333
8,857,2150,2150,1240,944.38,105.3,79.8,6038.666667,5451.666667,752.3333333,1143,1828.166667,686,821.1666667,167,51.16666667,587.1666667
9,705,2087,2087,1295,897.15,156.9,54.8,6228.666667,5299.166667,749,805.6666667,1936.333333,684.1666667,711.8333333,358.5,53.33333333,929.3333333
10,551,1683,1683,1424,599.05,162.2,56.3,6153.857143,5279.285714,724.1428571,761.2857143,1820,662.1428571,651.2857143,607,53.57142857,874.7142857
11,448,1523,1523,1309,580.33,130.2,116.8,6042.833333,5715.5,727,819.6666667,1888,662,758.8333333,809.8333333,49.83333333,327.3333333
12,387,1434,1434,1374,646.32,114,180.3,5899.333333,5614.666667,827.5,820.1666667,1829,668.1666667,580.6666667,839.1666667,48.83333333,284.6666667
13,363,1529,1529,1415,625.32,81.6,132.6,5929.833333,5794,911.6666667,904,1926.166667,653.8333333,493.5,858,47,136
14,318,1467,1467,1410,568.69,71.1,100.8,6020.666667,5834.333333,900.5,994,1939.666667,670,423.1666667,857.6666667,48.83333333,186.3333333
15,269,1510,1510,1436,502.3,156.4,69,5924.666667,5655.666667,942.5,1003,1908.833333,676.3333333,278.3333333,797.3333333,49.5,269
16,383,1968,1968,1430,514.84,165,36,6010.333333,5644,916.5,1052,1795.666667,677.1666667,372.8333333,779.5,50.66666667,365.8333333
17,470,2147,2147,1695,595.61,218.6,80.7,6054.833333,5580.5,921,1066.833333,1729.833333,676.5,497.8333333,637.5,49.33333333,474.1666667
18,475,2288,2288,1586,791.25,270.1,65,6191.857143,5824.571429,909.7142857,1062.571429,2132.857143,678.8571429,464.7142857,523.1428571,51.71428571,367.1428571
19,804,2388,2388,1332,1076.31,230.2,152,6417.571429,5849.714286,906,1072.571429,2249.857143,679.2857143,530,359.1428571,52.42857143,567.8571429
20,1075,2438,2438,1176,1321.31,161.8,217.8,6720.166667,5741,886.8333333,1004.333333,2443,680.3333333,560,115.3333333,51.33333333,979.3333333
21,1142,2629,2629,1428,1629.72,109.2,207.5,6828.5,5521.5,890.8333333,919,2478.666667,681.5,479.3333333,19.66666667,51.33333333,1307.166667
22,1037,2330,2330,1382,1256.32,85.9,133.7,6944.833333,5804.833333,904.5,1159,2545.166667,678.5,468.1666667,-1.833333333,50.83333333,1139.833333
23,645,1889,1889,1269,737.95,123.1,79.6,6586.333333,5660.833333,934.8333333,1170.166667,2478.833333,680.1666667,346.8333333,-1.666666667,51.66666667,925.5
24,525,1601,1601,1419,436.36,110.8,118.7,6059,5579.166667,945,1195.833333,2553.333333,679.5,155.1666667,-1.833333333,50.5,479.6666667
1,494,1659,1659,1190,512.54,141,25.9,5607.5,5306.166667,923,1183.833333,2316.333333,681.1666667,154,-2,50.33333333,301.3333333
2,459,1587,1587,1201,502.09,186.5,30.4,5388.833333,4791.333333,913.5,1169.833333,1758.166667,688.5,213.1666667,-2,50.33333333,597.8333333
3,437,1536,1536,1250,463.82,162.4,27.9,5260.166667,4798.833333,858.1666667,1150.833333,1596.666667,687.3333333,457.8333333,-2,49.83333333,461.3333333
4,416,1545,1545,1270,466.91,244,11.8,5140.666667,4853.666667,722.3333333,1145.333333,1410.333333,687.3333333,839.6666667,-2,50.5,286.8333333
5,441,1559,1559,1280,478.85,205.9,10,5188.142857,4874.142857,726.7142857,1149.142857,1239.714286,687.2857143,1021.142857,-2,50.71428571,314.2857143
6,465,1940,1940,1448,580.26,206.4,45.1,5182.833333,4919,706.8333333,1147.5,1156.333333,688.3333333,1169.666667,1.166666667,49.83333333,263.8333333
7,561,2239,2239,1611,706.71,173.9,58.6,5482,4986.5,732.8333333,1157.333333,1377.666667,688.6666667,938.1666667,41.83333333,48.83333333,495.5
8,760,2191,2191,1173,542.1,42.5,10,5976.166667,5241.5,785.5,1115.666667,1713.166667,688.6666667,689.8333333,197.8333333,50.33333333,735
9,587,2078,2078,1351,427.89,44.7,52.7,6127.333333,5182.5,825.5,789.1666667,2005.5,687.6666667,383.6666667,441,50.16666667,945.1666667
10,454,1633,1633,1572,353,53.4,193.2,6122.166667,5482.166667,940.3333333,750.3333333,2034.166667,687.1666667,341,677,51.83333333,640.1666667
11,364,1500,1500,1367,350.86,62.1,367.1,5932.166667,5719.833333,987,838.6666667,1973,686.6666667,321.3333333,861.3333333,50.83333333,212.5
12,339,1486,1486,1436,333.8,89.1,249.1,5781,5384.5,876.3333333,826.5,1782.5,686.6666667,214.6666667,949,49,396.3333333
13,278,1512,1458,1512,331.56,104.5,216.8,5750.333333,5545.166667,943.5,898.3333333,1791.5,686,167.5,1009.5,49.16666667,205.3333333
14,176,1505,1457,1505,281.95,163.7,75.3,5839.333333,5745.833333,1017.333333,922.5,1786.833333,687,223.5,1055.666667,49.83333333,93.16666667
15,157,1547,1542,1547,203.77,219.1,93,5802.142857,5679,949.1428571,953.8571429,1732.571429,686,291.8571429,1017,48.57142857,123.1428571
16,408,1970,1970,1538,319.07,293.2,99.7,5825.333333,5615,951.3333333,1031.666667,1709,686.1666667,290.3333333,895.1666667,50.5,210.3333333
17,476,1892,1892,1681,438.99,226.2,140.8,6096.166667,5703.666667,1035.5,1061.5,1860.333333,688.1666667,233.3333333,774.3333333,50.66666667,392.6666667
18,498,2416,2416,1656,406.7,283,73,6303.333333,5941.833333,1084.666667,1087.666667,2281.666667,684.3333333,163.8333333,585.5,52,361.6666667
19,719,2403,2403,1374,484.77,133.8,5.2,6584.833333,5938,1057.5,1132.166667,2556.666667,685.1666667,105.6666667,348,53,647
20,987,2585,2585,1202,989.75,157.7,12.8,6780.333333,5668.166667,1081,1009.5,2632.333333,685.3333333,80.33333333,125.8333333,51.16666667,1112.333333
21,1000,2585,2585,1443,1170.43,32.3,37.1,6973,5606.666667,1056.833333,952,2758.666667,685.6666667,72.5,27.5,53.66666667,1366.333333
22,934,2386,2386,1590,860.27,114,31.9,7118.142857,5892.571429,1069,1204,2776.571429,685.5714286,103.5714286,-0.571428571,54.14285714,1223.857143
23,727,1956,1956,1596,535.58,119.8,19.6,6705.5,5909.666667,1084.666667,1206.5,2772.333333,686.8333333,108.1666667,-1,52,795.6666667
24,581,1578,1578,1389,488.8,88.8,12,6179.666667,5730.666667,1029.666667,1213.333333,2606.166667,685.5,143.8333333,-1.833333333,51.83333333,449
1,538,1473,1473,1393,747.72,40.4,3.3,5749.333333,5205.5,912.1666667,1145.333333,2111.5,686,298.5,-1,52.66666667,543.5
2,521,1392,1366,1392,598.22,37.7,1.6,5429.166667,5209.5,969.1666667,1137,1753.833333,685.3333333,612.3333333,-1,52.5,219.6666667
3,478,1392,1360,1392,447.42,30.7,49.5,5221.333333,4941,840.6666667,1135.5,1524.666667,686.1666667,702,-1,52.66666667,280.6666667
4,469,1381,1380,1381,265.68,16.9,102,5199.5,4913,847.1666667,1141.5,1624.666667,685.5,561.6666667,-1,51.83333333,286.5
5,462,1472,1472,1356,353.69,40.7,152.5,5246,5026.333333,973.5,1147.666667,1627.666667,686.5,539,-1,53.5,219.6666667
6,541,1763,1763,1383,352.74,61,119.2,5308.666667,5000.666667,956.6666667,1141.5,1605.333333,685.1666667,558.3333333,-0.333333333,54,308
7,636,2254,2254,1555,445.03,39.7,111.9,5582.166667,4985,888.1666667,1139.166667,1610.833333,686.3333333,562.6666667,41,54.5,597.1666667
8,649,2082,2082,1403,544.34,63.1,183.7,6076.857143,5248.857143,852.7142857,1110,1929.428571,684.8571429,432.8571429,185.4285714,53.14285714,827.8571429
9,491,2088,2088,1553,525.03,46.3,150.8,6300.5,5383.5,911,1098.666667,2027.5,685.6666667,166.6666667,438.5,55.33333333,916.8333333
10,358,1600,1600,1556,330.65,24.6,121,6143,5506.166667,1002.166667,1092.666667,1913.333333,661,66.83333333,714.6666667,55,636.8333333
11,288,1439,1439,1387,272.49,46,130,5917.857143,5485.285714,961.4285714,1065.142857,1761.571429,643.1428571,67.14285714,935.2857143,51.85714286,432.7142857
12,217,1383,1383,1358,251.1,7,55.1,5794.166667,5380,960,858.1666667,1734,655,68.16666667,1052.5,52.83333333,414.5
13,294,1473,1473,1320,241.55,32.7,103.1,5828.666667,5386,949.5,871.8333333,1714.833333,640.1666667,62,1093.5,51.66666667,443
14,323,1475,1475,1319,261.75,121.5,80.8,5923.666667,5377.666667,969,878.6666667,1686.833333,665,72.5,1056.666667,48.83333333,546.1666667
15,374,1509,1509,1183,338.26,199.9,45.8,5829.833333,5439.166667,972.1666667,875.1666667,1671.333333,649.8333333,222.1666667,997.6666667,51,390.6666667
16,434,1717,1717,1072,657.67,185.9,35.2,5883.833333,5345.666667,964.6666667,769.8333333,1640.666667,659.8333333,346.3333333,914.3333333,50,538.1666667
17,532,2266,2266,1401,775.48,341.9,57.9,5997.833333,5126,872.6666667,761.3333333,1563.666667,667,417.3333333,793.6666667,49.33333333,872
18,487,2450,2450,1362,852.4,152.9,50.8,6193.833333,5374.166667,862.5,1035,1831,663.8333333,245.3333333,683.5,50.16666667,819.8333333
19,567,2469,2469,1404,926.53,128.3,12.6,6563.166667,5466.5,1011.5,1082.5,2111,668.6666667,99.33333333,437.8333333,56,1096.333333
20,970,2598,2598,1477,1389.13,68.7,138.4,6886.333333,5737.333333,1073.333333,1131.833333,2563.333333,669.3333333,79.83333333,163.8333333,54.33333333,1148.833333
21,1091,2805,2805,1429,1349.67,164,157.6,7015.428571,5724.571429,1082.571429,1159.428571,2636.571429,669.7142857,97,24.85714286,54.14285714,1290.714286
22,934,2548,2548,1499,1417.38,54.8,141.6,7170.5,5709.333333,1076.5,1167.166667,2661.666667,668.3333333,79.83333333,0.166666667,55.16666667,1461.333333
23,735,2028,2028,1516,1008.67,88,7.1,6801.333333,5641.666667,1079,1170.5,2575.166667,669.8333333,93,-0.333333333,54.33333333,1159.666667
24,552,1641,1641,1423,1045.34,96,0.3,6237.833333,5498.5,1080.833333,1180,2439.333333,669,76.5,-2,54,738.8333333
